Region,Suburb,Year,Total Description,Value
Tuggeranong,Banks,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),13.0
Tuggeranong,Banks,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),19.4
Tuggeranong,Banks,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),68.0
Tuggeranong,Banks,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),61.3
Tuggeranong,Banks,2011,Tenure type - Census : Renter (no.),48.0
Tuggeranong,Banks,2011,Tenure type - Census : Renter (%),43.2
Tuggeranong,Banks,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),0.0
Tuggeranong,Banks,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),0.0
Tuggeranong,Banks,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),3.0
Tuggeranong,Banks,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),5.0
Tuggeranong,Banks,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),38.5
Tuggeranong,Banks,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),13.0
Tuggeranong,Banks,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",14.0
Tuggeranong,Banks,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",100.0
Tuggeranong,Banks,2011,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),14.0
Tuggeranong,Banks,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),42.0
Tuggeranong,Banks,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),91.3
Tuggeranong,Banks,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),46.0
Tuggeranong,Banks,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),107.0
Tuggeranong,Banks,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),96.4
Tuggeranong,Banks,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),8.0
Tuggeranong,Banks,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),7.2
Tuggeranong,Banks,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),0.0
Tuggeranong,Banks,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),0.0
Tuggeranong,Banks,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),0.0
Tuggeranong,Banks,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),0.0
Tuggeranong,Banks,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
