Region,Year,Total Description,Value
Gungahlin,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),58.0
Gungahlin,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),93.0
Gungahlin,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",786.0
Gungahlin,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",73.0
Gungahlin,2011,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),95.0
Gungahlin,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),995.2
Gungahlin,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),181.0
Gungahlin,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),215.0
Gungahlin,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Gungahlin,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
Gungahlin,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),60.0
Gungahlin,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),31.0
Gungahlin,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),11.6
Gungahlin,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),8.0
Gungahlin,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),5.3
Gungahlin,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),7.0
Gungahlin,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),1031.0
Gungahlin,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),482.0
Gungahlin,2011,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),521.0
Gungahlin,2011,"Engagement in employment, education or training - Census : Fully engaged (%)",716.6
Gungahlin,2011,"Engagement in employment, education or training - Census : Not engaged (%)",162.1
Gungahlin,2011,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",128.4
Gungahlin,2011,Labour force status - Census : % of total Census responding population employed,848.5
Gungahlin,2011,Labour force status - Census : % of total labour force employed,1020.4
Gungahlin,2011,Labour force status - Census : % of total labour force unemployed,71.4
Gungahlin,2011,Labour force status - Census : Employed (no.),230.0
Gungahlin,2011,Labour force status - Census : In the labour force (no.),254.0
Gungahlin,2011,Labour force status - Census : Labour force participation rate (%),907.8
Gungahlin,2011,Labour force status - Census : Not in the labour force (%),172.6
Gungahlin,2011,Labour force status - Census : Total responding population aged 15-64 years (no.),326.0
Gungahlin,2011,Labour force status - Census : Unemployed (no.),17.0
Gungahlin,2011,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),8.0
Gungahlin,2011,Language - Census : Speaks English at home (%),1068.6
Gungahlin,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),474.8
Gungahlin,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),202.0
Gungahlin,2011,Tenure type - Census : Renter (%),631.5
Gungahlin,2011,Tenure type - Census : Renter (no.),321.0
Gungahlin,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),85.9
Gungahlin,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),30.0
Gungahlin,2011,Unpaid child care - Census : Cared for other child/children (%),68.8
Gungahlin,2011,Unpaid child care - Census : Cared for other child/children (no.),20.0
Gungahlin,2011,Unpaid child care - Census : Cared for own child/children (%),277.6
Gungahlin,2011,Unpaid child care - Census : Cared for own child/children (no.),80.0
Gungahlin,2011,Unpaid child care - Census : Did not provide unpaid child care (%),509.8
Gungahlin,2011,Unpaid child care - Census : Did not provide unpaid child care (no.),176.0
Gungahlin,2011,Unpaid child care - Census : Total provided unpaid child care (%),357.5
Gungahlin,2011,Unpaid child care - Census : Total provided unpaid child care (no.),115.0
Gungahlin,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),170.5
Gungahlin,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),68.0
Gungahlin,2016,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),764.0
Gungahlin,2016,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),61.0
Gungahlin,2016,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),79.0
Gungahlin,2016,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),774.8
Gungahlin,2016,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),101.0
Gungahlin,2016,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),136.0
Gungahlin,2016,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",1001.4
Gungahlin,2016,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",150.0
Gungahlin,2016,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),185.0
Gungahlin,2016,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),989.3
Gungahlin,2016,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),320.0
Gungahlin,2016,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),397.0
Gungahlin,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Gungahlin,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
Gungahlin,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),65.5
