Suburb,Total Description,Year,Number,Region,Population,Rate,COVID
Bruce,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2011,24.0,Belconnen,6751,3.5550288846096874,Pre
Bruce,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2016,22.0,Belconnen,7147,3.078214635511403,Pre
Bruce,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2021,32.0,Belconnen,7543,4.242343895001989,During
Bruce,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2011,34.0,Belconnen,6751,5.036290919863724,Pre
Bruce,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2016,26.0,Belconnen,7147,3.6378900237862037,Pre
Bruce,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2021,36.0,Belconnen,7543,4.772636881877237,During
Bruce,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2011,10.0,Belconnen,6751,1.4812620352540364,Pre
Bruce,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2016,18.0,Belconnen,7147,2.518539247236603,Pre
Bruce,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2021,35.0,Belconnen,7543,4.640063635158425,During
Bruce,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2011,10.0,Belconnen,6751,1.4812620352540364,Pre
Bruce,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2016,25.0,Belconnen,7147,3.497971176717504,Pre
Bruce,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2021,48.0,Belconnen,7543,6.3635158425029825,During
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2011,0.0,Belconnen,6751,0.0,Pre
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2016,0.0,Belconnen,7147,0.0,Pre
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2021,0.0,Belconnen,7543,0.0,During
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),2011,3.0,Belconnen,6751,0.4443786105762109,Pre
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),2016,0.0,Belconnen,7147,0.0,Pre
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),2021,0.0,Belconnen,7543,0.0,During
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),2011,0.0,Belconnen,6751,0.0,Pre
