Region,Total Description,Year,Number,Population,Rate,Covid
Gungahlin,Tenure type - Census : Renter (no.),2016,496.0,71582,6.929116258277221,Pre
Gungahlin,Tenure type - Census : Renter (no.),2021,729.0,77021,9.46495111722777,During
Gungahlin,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2011,30.0,48334,0.6206810940538751,Pre
Gungahlin,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2016,75.0,71582,1.0477494342153055,Pre
Gungahlin,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2021,105.0,77021,1.363264564209761,During
Gungahlin,Unpaid child care - Census : Cared for other child/children (no.),2011,20.0,48334,0.41378739603591674,Pre
Gungahlin,Unpaid child care - Census : Cared for other child/children (no.),2016,50.0,71582,0.6984996228102037,Pre
Gungahlin,Unpaid child care - Census : Cared for other child/children (no.),2021,63.0,77021,0.8179587385258565,During
Gungahlin,Unpaid child care - Census : Cared for own child/children (no.),2011,80.0,48334,1.655149584143667,Pre
Gungahlin,Unpaid child care - Census : Cared for own child/children (no.),2016,155.0,71582,2.1653488307116318,Pre
Gungahlin,Unpaid child care - Census : Cared for own child/children (no.),2021,178.0,77021,2.311058023136547,During
Gungahlin,Unpaid child care - Census : Did not provide unpaid child care (no.),2011,176.0,48334,3.6413290851160673,Pre
Gungahlin,Unpaid child care - Census : Did not provide unpaid child care (no.),2016,353.0,71582,4.931407337040039,Pre
Gungahlin,Unpaid child care - Census : Did not provide unpaid child care (no.),2021,633.0,77021,8.218537801378845,During
Gungahlin,Unpaid child care - Census : Total provided unpaid child care (no.),2011,115.0,48334,2.379277527206521,Pre
Gungahlin,Unpaid child care - Census : Total provided unpaid child care (no.),2016,228.0,71582,3.1851582800145293,Pre
Gungahlin,Unpaid child care - Census : Total provided unpaid child care (no.),2021,247.0,77021,3.2069175939029617,During
Gungahlin,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2011,68.0,48334,1.4068771465221168,Pre
Gungahlin,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2016,138.0,71582,1.9278589589561623,Pre
Gungahlin,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),2021,135.0,77021,1.75276872541255,During
Inner North,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2011,50.0,50087,0.9982630223411264,Pre
Inner North,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2016,69.0,54528,1.2654049295774648,Pre
Inner North,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),2021,109.0,61455,1.7736555202994062,During
Inner North,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2011,66.0,50087,1.3177071894902868,Pre
Inner North,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2016,94.0,54528,1.7238849765258217,Pre
Inner North,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),2021,119.0,61455,1.9363762102351314,During
Inner North,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2011,39.0,50087,0.7786451574260785,Pre
Inner North,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2016,90.0,54528,1.6505281690140845,Pre
Inner North,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),2021,107.0,61455,1.741111382312261,During
Inner North,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2011,97.0,50087,1.9366302633417851,Pre
Inner North,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2016,129.0,54528,2.365757042253521,Pre
Inner North,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),2021,165.0,61455,2.684891383939468,During
Inner North,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2011,88.0,50087,1.7569429193203825,Pre
Inner North,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2016,109.0,54528,1.9989730046948357,Pre
Inner North,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",2021,195.0,61455,3.173053453746644,During
Inner North,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2011,123.0,50087,2.4557270349591707,Pre
Inner North,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2016,148.0,54528,2.7142018779342725,Pre
Inner North,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),2021,219.0,61455,3.563583109592385,During
Inner North,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2011,155.0,50087,3.094615369257492,Pre
Inner North,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2016,195.0,54528,3.576144366197183,Pre
Inner North,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),2021,309.0,61455,5.0280693190139125,During
Inner North,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2011,253.0,50087,5.0512108930460995,Pre
Inner North,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2016,308.0,54528,5.648474178403756,Pre
Inner North,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),2021,419.0,61455,6.817996908306891,During
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2011,22.0,50087,0.4392357298300956,Pre
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2016,0.0,54528,0.0,Pre
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),2021,0.0,61455,0.0,During
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),2011,31.0,50087,0.6189230738514984,Pre
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),2016,47.0,54528,0.8619424882629109,Pre
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),2021,35.0,61455,0.5695224147750386,During
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),2011,5.0,50087,0.09982630223411264,Pre
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),2016,0.0,54528,0.0,Pre
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),2021,6.0,61455,0.0976324139614352,During
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),2011,4.0,50087,0.07986104178729012,Pre
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),2016,6.0,54528,0.11003521126760564,Pre
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),2021,5.0,61455,0.08136034496786267,During
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2011,366.0,50087,7.307285323537045,Pre
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2016,429.0,54528,7.867517605633803,Pre
Inner North,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2021,663.0,61455,10.78838174273859,During
Inner North,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2011,423.0,50087,8.445305169005929,Pre
Inner North,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2016,483.0,54528,8.857834507042254,Pre
Inner North,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2021,720.0,61455,11.715889675372225,During
Inner North,Labour force status - Census : Employed (no.),2011,221.0,50087,4.412322558747778,Pre
Inner North,Labour force status - Census : Employed (no.),2016,277.0,54528,5.079958920187794,Pre
Inner North,Labour force status - Census : Employed (no.),2021,459.0,61455,7.468879668049793,During
Inner North,Labour force status - Census : In the labour force (no.),2011,233.0,50087,4.651905684109649,Pre
Inner North,Labour force status - Census : In the labour force (no.),2016,315.0,54528,5.776848591549296,Pre
Inner North,Labour force status - Census : In the labour force (no.),2021,479.0,61455,7.794321047921243,During
Inner North,Labour force status - Census : Total responding population aged 15-64 years (no.),2011,375.0,50087,7.486972667558447,Pre
Inner North,Labour force status - Census : Total responding population aged 15-64 years (no.),2016,435.0,54528,7.977552816901409,Pre
Inner North,Labour force status - Census : Total responding population aged 15-64 years (no.),2021,639.0,61455,10.397852086892849,During
Inner North,Labour force status - Census : Unemployed (no.),2011,19.0,50087,0.37933994848962804,Pre
Inner North,Labour force status - Census : Unemployed (no.),2016,26.0,54528,0.47681924882629106,Pre
Inner North,Labour force status - Census : Unemployed (no.),2021,30.0,61455,0.48816206980717597,During
Inner North,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2011,107.0,50087,2.1362828678100105,Pre
Inner North,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2016,166.0,54528,3.0443075117370895,Pre
Inner North,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),2021,259.0,61455,4.214465869335286,During
Inner North,Tenure type - Census : Renter (no.),2011,322.0,50087,6.4288138638768535,Pre
Inner North,Tenure type - Census : Renter (no.),2016,358.0,54528,6.56543427230047,Pre
Inner North,Tenure type - Census : Renter (no.),2021,480.0,61455,7.8105931169148155,During
Inner North,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2011,62.0,50087,1.2378461477029967,Pre
Inner North,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2016,48.0,54528,0.8802816901408451,Pre
Inner North,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),2021,98.0,61455,1.5946627613701083,During
Inner North,Unpaid child care - Census : Cared for other child/children (no.),2011,26.0,50087,0.5190967716173858,Pre
Inner North,Unpaid child care - Census : Cared for other child/children (no.),2016,27.0,54528,0.4951584507042254,Pre
Inner North,Unpaid child care - Census : Cared for other child/children (no.),2021,47.0,61455,0.7647872426979091,During
Inner North,Unpaid child care - Census : Cared for own child/children (no.),2011,67.0,50087,1.3376724499371093,Pre
