Region,Crime,Year,Quarter,Number
Belconnen,Theft,2024,Q4,418
Belconnen,Theft,2025,Q1,404
Belconnen,Theft,2025,Q2,356
Gungahlin,Assault,2014,Q1,22
Gungahlin,Assault,2014,Q2,25
Gungahlin,Assault,2014,Q3,13
Gungahlin,Assault,2014,Q4,19
Gungahlin,Assault,2015,Q1,8
Gungahlin,Assault,2015,Q2,23
Gungahlin,Assault,2015,Q3,10
Gungahlin,Assault,2015,Q4,28
Gungahlin,Assault,2016,Q1,34
Gungahlin,Assault,2016,Q2,37
Gungahlin,Assault,2016,Q3,32
Gungahlin,Assault,2016,Q4,26
Gungahlin,Assault,2017,Q1,34
Gungahlin,Assault,2017,Q2,34
Gungahlin,Assault,2017,Q3,42
Gungahlin,Assault,2017,Q4,44
Gungahlin,Assault,2018,Q1,28
Gungahlin,Assault,2018,Q2,33
Gungahlin,Assault,2018,Q3,22
Gungahlin,Assault,2018,Q4,36
Gungahlin,Assault,2019,Q1,36
Gungahlin,Assault,2019,Q2,41
Gungahlin,Assault,2019,Q3,45
Gungahlin,Assault,2019,Q4,46
Gungahlin,Assault,2020,Q1,39
Gungahlin,Assault,2020,Q2,35
Gungahlin,Assault,2020,Q3,48
Gungahlin,Assault,2020,Q4,44
Gungahlin,Assault,2021,Q1,37
Gungahlin,Assault,2021,Q2,45
Gungahlin,Assault,2021,Q3,31
Gungahlin,Assault,2021,Q4,25
Gungahlin,Assault,2022,Q1,47
Gungahlin,Assault,2022,Q2,31
Gungahlin,Assault,2022,Q3,57
Gungahlin,Assault,2022,Q4,58
Gungahlin,Assault,2023,Q1,42
Gungahlin,Assault,2023,Q2,47
Gungahlin,Assault,2023,Q3,60
Gungahlin,Assault,2023,Q4,50
Gungahlin,Assault,2024,Q1,61
Gungahlin,Assault,2024,Q2,35
Gungahlin,Assault,2024,Q3,62
Gungahlin,Assault,2024,Q4,50
Gungahlin,Assault,2025,Q1,43
Gungahlin,Assault,2025,Q2,33
